manuscript_location,quantity,manuscript_value,source_file,source_value,status
Section 4.2,Thr44 and Arg48 distance ranges,2.80-3.40 A / 3.04-3.79 A,pose contact analysis,identical,VERIFIED (session 2026-08-11)
Section 4.2,Thr44 hydroxyl to ligand polar hydrogen,1.81 A,Candidate_2 pose,1.81,VERIFIED (session 2026-08-11)
Section 3.3 / Fig. S5,WBP5 vs YAP/TAZ target signature,rho=0.17 p=4.2e-16,HNSCC_all_data.txt module scoring,+0.172 / 4.2e-16,VERIFIED (session 2026-07-03)
Section 3.3 / Fig. S5,WBP5 vs YAP1 mRNA,rho=0.02 p=0.37,HNSCC_all_data.txt,+0.019 / 0.37,VERIFIED (session 2026-07-03)
Section 3.3 / Fig. S5,gene-set permutation empirical p,0.005,1000 random 22-gene sets; null 0.041+/-0.040 97.5%ile 0.120,0.005,VERIFIED (session 2026-07-03)
Section 3.3 / Fig. S5,partial rho after p-EMT adjustment,0.06 p=2.6e-03,partial Spearman from module scores,+0.064 / 2.6e-03,VERIFIED (session 2026-07-03)
Section 3.3,YAP/TAZ signature vs p-EMT score,rho=0.56,verify_recompute-style inversion of the partial correlation,implied 0.562,VERIFIED (internally consistent)
Section 2.7 / 2.11,MTiOpenScreen job ID and date,V06821248773098 / 13 August 2026,MTiOpenScreen job record,identical,VERIFIED (session 2026-08-13)
Section 3.6,MTiOpenScreen returned entries and unique drugs,"1,500 (20.9% of 7,173); 1,037 unique",job V06821248773098 output table,1500 / 1037,VERIFIED (session 2026-08-13)
Section 3.6,MTiOpenScreen energy range and mean,-8.7 to -5.7; -6.17 +/- 0.38,job V06821248773098 output table,identical,VERIFIED (session 2026-08-13)
Section 3.6,pazopanib server score and rank,-5.8; top 16.5-20.0%,"1,180 better + 257 tied of 7,173",ranks 1181-1437,VERIFIED (session 2026-08-13)
Section 3.6 / 4.4,unobserved fraction of library,79.1%,"(7,173 - 1,500) / 7,173",79.1%,VERIFIED (session 2026-08-13)
Table 4 / Table S5,ligand identity of all ten compounds,see manuscript,InChIKey cross-reference across docking scripts SwissADME CSV and ProTox submissions,all ten consistent,VERIFIED (session 2026-08-11)
Table S5,ProTox 3.0 toxicity endpoints,see Table S5,six ProTox 3.0 xlsx exports,as submitted,VERIFIED (session 2026-08-11)
Table 4,Candidate_1 SD,+/-0.05,docking replicate summary,0.055,VERIFIED (session 2026-08-13; supersedes +/-0.06)
